timestamp,device_id,port,current,voltage,power,charge_status
2026-01-18 08:50:03,418351,8,4,23200,0.0,0
2026-01-18 08:50:03,418351,9,400,23290,62.9,1
2026-01-18 08:50:03,418351,10,167,23290,21.5,1
2026-01-18 08:50:03,418351,11,0,23130,0.0,0
2026-01-18 08:50:03,418351,12,82,23200,9.6,1
2026-01-18 08:59:59,423297,1,13,23220,0.0,0
2026-01-18 08:59:59,423297,2,6,23220,0.0,0
2026-01-18 08:59:59,423297,3,5,23220,0.0,0
2026-01-18 08:59:59,423297,4,5,23220,0.0,0
2026-01-18 08:59:59,423297,5,4,23220,0.0,0
2026-01-18 08:59:59,423297,6,4,23220,0.0,0
2026-01-18 08:59:59,423297,7,4,23220,0.0,0
2026-01-18 08:59:59,423297,8,265,23190,33.2,1
2026-01-18 08:59:59,423297,9,1122,23110,185.6,1
2026-01-18 08:59:59,423297,10,4,23220,0.0,0
2026-01-18 08:59:59,423297,11,0,23160,0.0,0
2026-01-18 08:59:59,423297,12,0,23160,0.0,0
2026-01-18 08:59:59,417598,1,13,23310,0.0,0
2026-01-18 08:59:59,417598,2,6,23330,0.0,0
2026-01-18 08:59:59,417598,3,550,23230,82.9,1
2026-01-18 08:59:59,417598,4,5,23310,0.0,0
2026-01-18 08:59:59,417598,5,5,23310,0.0,0
2026-01-18 08:59:59,417598,6,4,23310,0.0,0
2026-01-18 08:59:59,417598,7,4,23310,0.0,0
2026-01-18 08:59:59,417598,8,4,23310,0.0,0
2026-01-18 08:59:59,417598,9,4,23310,0.0,0
2026-01-18 08:59:59,417598,10,4,23310,0.0,0
2026-01-18 08:59:59,417598,11,0,23180,0.0,0
2026-01-18 08:59:59,417598,12,0,23180,0.0,0
2026-01-18 08:59:59,418297,1,13,23220,0.0,0
2026-01-18 08:59:59,418297,2,6,23220,0.0,0
2026-01-18 08:59:59,418297,3,5,23220,0.0,0
2026-01-18 08:59:59,418297,4,5,23220,0.0,0
2026-01-18 08:59:59,418297,5,5,23220,0.0,0
2026-01-18 08:59:59,418297,6,4,23220,0.0,0
2026-01-18 08:59:59,418297,7,4,23220,0.0,0
2026-01-18 08:59:59,418297,8,117,23180,12.9,1
2026-01-18 08:59:59,418297,9,821,23180,128.5,1
2026-01-18 08:59:59,418297,10,4,23220,0.0,0
2026-01-18 08:59:59,418297,11,0,23170,0.0,0
2026-01-18 08:59:59,418297,12,392,23100,68.2,1
2026-01-18 08:59:59,418351,1,14,23200,0.0,0
2026-01-18 08:59:59,418351,2,6,23200,0.0,0
2026-01-18 08:59:59,418351,3,6,23230,0.0,0
2026-01-18 08:59:59,418351,4,483,23100,69.7,1
2026-01-18 08:59:59,418351,5,5,23200,0.0,0
2026-01-18 08:59:59,418351,6,648,23100,95.2,1
2026-01-18 08:59:59,418351,7,4,23200,0.0,0
2026-01-18 08:59:59,418351,8,4,23200,0.0,0
2026-01-18 08:59:59,418351,9,345,23100,52.5,1
2026-01-18 08:59:59,418351,10,152,23100,19.1,1
2026-01-18 08:59:59,418351,11,0,23130,0.0,0
2026-01-18 08:59:59,418351,12,79,23020,9.3,1
